Subfamily,Genus,Species,Long,Lat
Hydrophiinae,Aipysurus,Aip_eyd,141.68333,-12.75
Hydrophiinae,Aipysurus,Aip_eyd,141.7,-12.666
Hydrophiinae,Aipysurus,Aip_eyd,141.883,-12.65
Hydrophiinae,Aipysurus,Aip_eyd,142.0333,-10.3833
Hydrophiinae,Aipysurus,Aip_eyd,142.5,-10.5
Hydrophiinae,Aipysurus,Aip_eyd,142.9516819,-9.137233356
Hydrophiinae,Aipysurus,Aip_eyd,143.455,-12.755
Hydrophiinae,Aipysurus,Aip_eyd,143.65989,-11.56495
Hydrophiinae,Aipysurus,Aip_eyd,143.7415,-11.4315
Hydrophiinae,Aipysurus,Aip_eyd,144.7,-7.583333
Hydrophiinae,Aipysurus,Aip_eyd,146.895,-18.955
Hydrophiinae,Aipysurus,Aip_eyd,151.26667,-23.85
Hydrophiinae,Aipysurus,Aip_eyd,151.945,-21.665
Hydrophiinae,Aipysurus,Aip_eyd,152.26665,-24.69165
Hydrophiinae,Aipysurus,Aip_eyd,152.4,-24.75
Hydrophiinae,Aipysurus,Aip_eyd,99.51667,11.2
Hydrophiinae,Aipysurus,Aip_eyd,100.002639,13.414556
Hydrophiinae,Aipysurus,Aip_eyd,114.4333,-22.0667
Hydrophiinae,Aipysurus,Aip_eyd,122.2333,-17.9667
Hydrophiinae,Aipysurus,Aip_eyd,125.05,-14.883
Hydrophiinae,Aipysurus,Aip_eyd,132.25,-10.9667
Hydrophiinae,Aipysurus,Aip_eyd,133.233,-11.45
Hydrophiinae,Aipysurus,Aip_eyd,133.25,-11.416
Hydrophiinae,Aipysurus,Aip_eyd,133.28333,-11.41667
Hydrophiinae,Aipysurus,Aip_eyd,134.666,-11.783
Hydrophiinae,Aipysurus,Aip_eyd,135.15,-12
Hydrophiinae,Aipysurus,Aip_eyd,135.7311789,-14.27856351
Hydrophiinae,Aipysurus,Aip_eyd,135.980835,-14.471665
Hydrophiinae,Aipysurus,Aip_eyd,136,-14
Hydrophiinae,Aipysurus,Aip_eyd,136,-12.43333
Hydrophiinae,Aipysurus,Aip_eyd,136.01584,-14.41166
Hydrophiinae,Aipysurus,Aip_eyd,136.07758,-14.05558
Hydrophiinae,Aipysurus,Aip_eyd,136.3267,-13.43585
Hydrophiinae,Aipysurus,Aip_eyd,136.4,-13.6
Hydrophiinae,Aipysurus,Aip_eyd,136.4333,-14.9
Hydrophiinae,Aipysurus,Aip_eyd,136.46667,-13.28333
Hydrophiinae,Aipysurus,Aip_eyd,136.47603,-13.55723
Hydrophiinae,Aipysurus,Aip_eyd,136.5,-13.5
Hydrophiinae,Aipysurus,Aip_eyd,136.5,-13.3
Hydrophiinae,Aipysurus,Aip_eyd,136.5167,-15.05
Hydrophiinae,Aipysurus,Aip_eyd,136.6333,-13.25
Hydrophiinae,Aipysurus,Aip_eyd,136.64358,-13.29308
Hydrophiinae,Aipysurus,Aip_eyd,136.64556,-13.35993
Hydrophiinae,Aipysurus,Aip_eyd,136.6667,-13.2667
Hydrophiinae,Aipysurus,Aip_eyd,136.7167,-13.2333
Hydrophiinae,Aipysurus,Aip_eyd,136.7,-13.3667
Hydrophiinae,Aipysurus,Aip_eyd,136.7,-14.6667
Hydrophiinae,Aipysurus,Aip_eyd,136.7025,-14.81917
Hydrophiinae,Aipysurus,Aip_eyd,136.7117,-15.01
Hydrophiinae,Aipysurus,Aip_eyd,136.7833,-13.2
Hydrophiinae,Aipysurus,Aip_eyd,136.75,-14.8667
Hydrophiinae,Aipysurus,Aip_eyd,136.75116,-13.44856
Hydrophiinae,Aipysurus,Aip_eyd,136.76667,-13.28333
Hydrophiinae,Aipysurus,Aip_eyd,136.766,-13.416
Hydrophiinae,Aipysurus,Aip_eyd,136.78333,-13.1
Hydrophiinae,Aipysurus,Aip_eyd,136.8417,-14.9858
Hydrophiinae,Aipysurus,Aip_eyd,136.8833,-14.7167
Hydrophiinae,Aipysurus,Aip_eyd,136.95,-13.95333
Hydrophiinae,Aipysurus,Aip_eyd,136.99818,-14.06899
Hydrophiinae,Aipysurus,Aip_eyd,137.08108,-14.55258
Hydrophiinae,Aipysurus,Aip_eyd,137.0883,-14.5467
Hydrophiinae,Aipysurus,Aip_eyd,137.2333,-15.5667
Hydrophiinae,Aipysurus,Aip_eyd,137.333,-14.333
Hydrophiinae,Aipysurus,Aip_eyd,137.6967,-15.5283
Hydrophiinae,Aipysurus,Aip_eyd,137.683,-15.8333
Hydrophiinae,Aipysurus,Aip_eyd,139,-14
Hydrophiinae,Aipysurus,Aip_eyd,139.15,-15.8333
Hydrophiinae,Aipysurus,Aip_eyd,139.2,-15.866
Hydrophiinae,Aipysurus,Aip_eyd,139.21524,-15.92052
Hydrophiinae,Aipysurus,Aip_eyd,139.29971,-15.92507
Hydrophiinae,Aipysurus,Aip_eyd,139.3065,-16.006
Hydrophiinae,Aipysurus,Aip_eyd,139.34982,-16.00593
Hydrophiinae,Aipysurus,Aip_eyd,139.75,-16.583
Hydrophiinae,Aipysurus,Aip_eyd,139.90333,-17.12
Hydrophiinae,Aipysurus,Aip_eyd,139.983,-17.1
Hydrophiinae,Aipysurus,Aip_eyd,140,-17
Hydrophiinae,Aipysurus,Aip_eyd,140.016,-16.9
Hydrophiinae,Aipysurus,Aip_eyd,140.35,-17.25
Hydrophiinae,Aipysurus,Aip_eyd,140.43,-17.21667
Hydrophiinae,Aipysurus,Aip_eyd,140.43666,-17.32667
Hydrophiinae,Aipysurus,Aip_eyd,140.5,-17.5
Hydrophiinae,Aipysurus,Aip_eyd,140.566,-17.216
Hydrophiinae,Aipysurus,Aip_eyd,140.5,-17.25333
Hydrophiinae,Aipysurus,Aip_eyd,140.59666,-17.21667
Hydrophiinae,Aipysurus,Aip_eyd,140.66666,-17.44166
Hydrophiinae,Aipysurus,Aip_eyd,140.616,-17.283
Hydrophiinae,Aipysurus,Aip_eyd,140.69833,-17.43833
Hydrophiinae,Aipysurus,Aip_eyd,140.755,-17.4
