Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Aipysurus,Aip_eyd,26.87,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_eyd,31.41,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_eyd,20.8778019,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_eyd,29.66002464,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_eyd,23.62077904,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_eyd,29.44698524,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_eyd,23.73592758,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_eyd,29.43398666,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_eyd,23.25252151,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_eyd,29.25451851,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_eyd,22.31,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_eyd,28.92,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_eyd,15.95,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_eyd,27.39,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_eyd,16.449212,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_eyd,27.439736,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_eyd,15.948044,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_eyd,27.396496,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_eyd,15.948044,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_eyd,27.387904,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_eyd,15.677899,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_eyd,27.409994,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_fol,8.090838,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_fol,31.042838,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_fol,10.378782,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_fol,31.0983,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_fol,16.683252,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_fol,31.134461,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_fol,30.717991,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_fol,31.266832,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_fol,28.49,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_fol,29.97,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_fol,10.27308655,Lower,B_Bma,Mean
